ID,Wordform_ID,Morph_ID,Index,Gloss_ID
tataja-3p-say-neg-2,tataja-3p-say-neg,janeg,2,neg
metojpa-2-hit-ipfv-0,metojpa-2-hit-ipfv,me2,0,2
metojpa-2-hit-ipfv-1,metojpa-2-hit-ipfv,tojpa-hit,1,hit
metojpa-2-hit-ipfv-2,metojpa-2-hit-ipfv,ri-zero,2,ipfv
tajne-3-pl-0,tajne-3-pl,ta-3,0,3
tajne-3-pl-1,tajne-3-pl,jne-pl,1,pl
nankase-find-pst-0,nankase-find-pst,nanka-find,0,find
nankase-find-pst-1,nankase-find-pst,sepst,1,pst
takerejtomo-3-relative-pert-pl-0,takerejtomo-3-relative-pert-pl,it3,0,3
takerejtomo-3-relative-pert-pl-1,takerejtomo-3-relative-pert-pl,akere-relative-1,1,relative
takerejtomo-3-relative-pert-pl-2,takerejtomo-3-relative-pert-pl,jpert,2,pert
takerejtomo-3-relative-pert-pl-3,takerejtomo-3-relative-pert-pl,tomopl,3,pl
peti-leg-0,peti-leg,peti-leg,0,leg
patakasape-take-out-pfv-1,patakasape-take-out-pfv,sapepfv,1,pfv
yakucho-p-a-0,yakucho-p-a,yakucho-p-a,0,"p,a"
pana-dat-0,pana-dat,pana-dat,0,dat
kukuru-answer-ipfv-0,kukuru-answer-ipfv,kuku-answer,0,answer
kukuru-answer-ipfv-1,kukuru-answer-ipfv,ri-ru,1,ipfv
weroro-dog-0,weroro-dog,weroro-dog,0,dog
wera-like-0,wera-like,wera-like,0,like
keyetari-grow-ipfv-1,keyetari-grow-ipfv,ri,1,ipfv
memukuru-2-child-pert-0,memukuru-2-child-pert,me2,0,2
memukuru-2-child-pert-1,memukuru-2-child-pert,muku-child,1,child
memukuru-2-child-pert-2,memukuru-2-child-pert,rupert,2,pert
keyetajpe-grow-pst-1,keyetajpe-grow-pst,jpepst1,1,pst
chima-path-0,chima-path,chima-path,0,path
pata-village-0,pata-village,pata-village,0,village
mere-med-inan-0,mere-med-inan,mere-med-inan,0,"med,inan"
mare-still-0,mare-still,mare-still-1,0,still
meinija-2-see-neg-0,meinija-2-see-neg,me2,0,2
meinija-2-see-neg-1,meinija-2-see-neg,ini-see,1,see
meinija-2-see-neg-2,meinija-2-see-neg,janeg,2,neg
ka-q-0,ka-q,ka-q,0,q
pinchi-hes-0,pinchi-hes,pinchi-hes,0,hes
nwa-thus-0,nwa-thus,nwa-thus,0,thus
usamori-1-cry-ipfv-0,usamori-1-cry-ipfv,u1,0,1
usamori-1-cry-ipfv-1,usamori-1-cry-ipfv,samo-cry,1,cry
usamori-1-cry-ipfv-2,usamori-1-cry-ipfv,ri,2,ipfv
uyipi-1-mountain-pert-0,uyipi-1-mountain-pert,u1,0,1
uyipi-1-mountain-pert-1,uyipi-1-mountain-pert,yipi-mountain,1,mountain
uyipi-1-mountain-pert-2,uyipi-1-mountain-pert,rupert-zero,2,pert
inchare-see-imn-0,inchare-see-imn,in-see,0,see
inchare-see-imn-1,inchare-see-imn,chareimn,1,imn
