ID,Language_ID,Name,Description,Parameter_ID,Comment,Source,Part_Of_Speech,Tags
empare-already,yab,ëmpare,,already,,,,
enuku-go-up,yab,ënuku,,go up,,,,
erine-cooking-pot,yab,ërinë,,cooking pot,,,,
etipa-go-in-group,yab,ëtïpa,,go in group,,,,
ya-erg,yab,ya,,ERG,,,,
ya-obl,yab,ya,,OBL,,,,
ma-rst,yab,ma,,RST,,,,
re-emp,yab,rë,,EMP,,,,
yawe-loc,yab,yawë,,LOC,,,,
pinika-prob,yab,pïnika,,PROB,,,,
taki-cnfrm,yab,takï,,CNFRM,,,,
tawara-too,yab,tawara,,too,,,,
chiyawe-when,yab,chiyawë,,when,,,,
kwase-how,yab,kwase,,how,,,,
pirare-neg-exist,yab,pïrarë,,NEG.EXIST,,,,
chi-cop,yab,chi,,COP,*eti,,,
ne-ints,yab,ne,,INTS,A clitic.,,,
neke-cntr,yab,neke,,CNTR,,,,
ee-yes,yab,ëʼë,,yes,,,,
taji-foc,yab,taji,,FOC,A Piaroan loanword?,,,
ire-3ana-inan,yab,irë,,3ANA.INAN,,,,
ijte-there,yab,ijtë,,there,,,,
pinire-neg,yab,pïnirë,,NEG,Prominently used in nonverbal predication.,,,
waraij-like,yab,waraij,,like,,,,
maniki-rel-anim,yab,manïkï,,REL.ANIM,,,,
te-go,yab,të,,go,Irregularly inflected.,,,
ke-ins,yab,ke,,INS,,,,
ewenke-ignorant,yab,ewenke,,ignorant,,,,
wara-thus,yab,wara,,thus,,,,
suku-urine,yab,suku,,urine,,,,
mesuku-blood,yab,mesuku,,blood,-tu PERT,,,
enka-finish,yab,ënka,,finish,,,,
enejka-watch,yab,enejka,,watch,,,,
tawejka-dawn,yab,tawejka,,dawn,,,,
aniki-who,yab,anïkï,,who,,,,
ka-say,yab,ka,,say,,,,
iwiti-house,yab,ïwïtï,,house,,,,
tawaja-thus-neg,yab,tawaja,,thus.NEG,"Looks suspiciously like [mp](tawara-too) and [mp](janeg), but the combination would be unexpected.",,,
kanta-sing,yab,kanta,,sing,,,,
soj-splash,yab,soj,,splash,,,,
aaa-ah,yab,aaa,,ah,,,,
ekete-where,yab,ëkëtë,,where,,,,
