ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source,Part_Of_Speech
wurijyan-woman,yab,wurijyan,wiriyamo-woman,woman,wurijyan,w u r i h j a n,,,n
wejka-fall,yab,wëjka,wejka-fall,fall,wëjka,w ə h k a,,,vi
wejte-go-down,yab,wëjtë,wejte-go-down,go down,wëjtë,w ə h t ə,,,vi
we-kill,yab,wë,we-kill,kill,wë,w ə,,,vt
winiki-sleep,yab,wïnïkï,winiki-sleep,sleep,wïnïkï,w ɨ n ɨ k ɨ,,,vi
winik-sleep,yab,winik,winiki-sleep,sleep,winik,w i n i k,,,vi
winij-sleep,yab,wïnïj,winiki-sleep,sleep,wïnïj,w ɨ n ɨ h,,,vi
wire-1pro,yab,wïrë,wire-1pro,1PRO,wïrë,w ɨ r ə,,,pn
ya-ra-grandchild,yab,ya'ra,ya-ra-grandchild,grandchild,ya'ra,j a ʔ r a,,,n
yajno-brother-in-law-man,yab,yajno,yajno-brother-in-law-man,brother in law (man),yajno,j a h n o,,,n
yaka-all,yab,yaka,yaka-all,ALL,yaka,j a k a,,,postp
yaka-dig-out,yab,yaka,yaka-dig-out,dig out,yaka,j a k a,,,vt
yamane-make,yab,yamanë,yamane-make,make,yamanë,j a m a n ə,,,vt
yaman-make,yab,yaman,yamane-make,make,yaman,j a m a n,,,vt
yamani-make,yab,yamani,yamane-make,make,yamani,j a m a n i,,,vt
yami-pick-up,yab,yamï,yami-pick-up,pick up,yamï,j a m ɨ,,,vt
yan-pick-up,yab,yan,yami-pick-up,pick up,yan,j a n,,,vt
yam-pick-up,yab,yam,yami-pick-up,pick up,yam,j a m,,,vt
yane-mother,yab,yanë,yane-mother,mother,yanë,j a n ə,,,n
sane-mother,yab,sanë,yane-mother,mother,sanë,s a n ə,,,n
yaniki-call,yab,yanïkï,yaniki-call,call,yanïkï,j a n ɨ k ɨ,,,vt
yanij-call,yab,yanïj,yaniki-call,call,yanïj,j a n ɨ h,,,vt
yapijtomo-old,yab,yapijtomo,yapijtomo-old,old,yapijtomo,j a p i h t o m o,Fossilized _-tomo_.,,n
yapijton-old,yab,yapijton,yapijtomo-old,old,yapijton,j a p i h t o n,Fossilized _-tomo_.,,n
yapijtom-old,yab,yapijtom,yapijtomo-old,old,yapijtom,j a p i h t o m,Fossilized _-tomo_.,,n
yapechi-grab,yab,yapëchi,yapechi-grab,grab,yapëchi,j a p ə t͡ʃ i,,,vt
yapej-grab,yab,yapëj,yapechi-grab,grab,yapëj,j a p ə h,,,vt
yapichi-grab,yab,yapïchi,yapechi-grab,grab,yapïchi,j a p ɨ t͡ʃ i,,,vt
yarika-laugh,yab,yarika,yarika-laugh,laugh,yarika,j a r i k a,,,vi
yaruwa-laugh,yab,yaruwa,yaruwa-laugh,laugh,yaruwa,j a r u w a,,,vi
yare-bring,yab,yarë,yare-bring,bring,yarë,j a r ə,,,vt
yatane-adolescent,yab,yatanë,yatane-adolescent,adolescent,yatanë,j a t a n ə,,,n
yatam-adolescent,yab,yatam,yatane-adolescent,adolescent,yatam,j a t a m,,,n
yatan-adolescent,yab,yatan,yatane-adolescent,adolescent,yatan,j a t a n,,,n
yatunu-day,yab,yatunu,yatunu-day,day; sun,yatunu,j a t u n u,,,n
